transaction_id,customer_id,merchant_id,amount,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description,transaction_time_numeric
1,1082,2027,5758.59,0,2,30,0,43,2027,1672531200
2,1015,2053,1901.56,1,3,47,2,61,2053,1672531201
3,1004,2035,1248.86,1,2,6,0,57,2035,1672531202
4,1095,2037,7619.05,1,1,6,5,59,2037,1672531203
5,1036,2083,1890.1,1,2,34,4,36,2083,1672531204
6,1032,2021,8487.68,1,0,1,0,43,2021,1672531205
7,1029,2033,7565.3,1,3,7,2,19,2033,1672531206
8,1018,2088,2284.88,0,0,46,5,40,2088,1672531207
9,1095,2077,3952.73,0,0,45,1,43,2077,1672531208
10,1014,2031,8362.04,0,3,25,3,55,2031,1672531209
11,1087,2052,2974.23,1,2,29,4,70,2052,1672531210
12,1095,2031,4128.7,0,1,45,5,27,2031,1672531211
13,1070,2015,6409.54,1,0,30,3,46,2015,1672531212
14,1012,2020,2190.4,1,3,19,0,34,2020,1672531213
15,1076,2025,2516.99,1,2,13,4,41,2025,1672531214
16,1055,2004,3454.14,1,1,25,4,19,2004,1672531215
17,1005,2032,2415.3,1,3,4,2,41,2032,1672531216
18,1004,2040,79.76,0,3,17,3,64,2040,1672531217
19,1012,2060,8906.66,1,3,35,5,62,2060,1672531218
20,1028,2063,6838.47,1,1,40,1,44,2063,1672531219
21,1030,2072,2821.68,1,2,1,1,57,2072,1672531220
22,1065,2056,1621.03,0,2,38,4,40,2056,1672531221
23,1078,2055,625.58,0,3,34,2,60,2055,1672531222
24,1004,2083,4944.29,1,1,22,4,51,2083,1672531223
25,1072,2005,9027.91,0,3,39,1,28,2005,1672531224
26,1026,2026,613.44,1,2,10,5,42,2026,1672531225
27,1092,2021,7558.94,0,3,29,3,23,2021,1672531226
28,1084,2035,4306.65,1,0,7,1,45,2035,1672531227
29,1090,2018,6743.61,1,0,17,1,65,2018,1672531228
30,1070,2004,8987.41,0,2,15,2,55,2004,1672531229
31,1054,2034,4464.86,1,2,44,0,24,2034,1672531230
32,1029,2036,9771.9,1,0,27,2,30,2036,1672531231
33,1058,2085,6748.27,1,1,37,4,35,2085,1672531232
34,1076,2071,3190.8,0,3,50,0,32,2071,1672531233
35,1036,2023,7716.15,1,2,18,2,58,2023,1672531234
36,1001,2083,9145.62,1,2,31,4,66,2083,1672531235
37,1098,2006,6983.78,0,2,17,3,51,2006,1672531236
38,1021,2093,6059.01,1,3,39,5,61,2093,1672531237
39,1090,2063,9593.37,0,0,14,1,66,2063,1672531238
40,1055,2003,5696.32,0,1,41,2,22,2003,1672531239
41,1044,2008,7274.22,0,0,20,2,27,2008,1672531240
42,1036,2011,3197.45,1,3,50,3,66,2011,1672531241
43,1020,2041,3587.54,1,1,31,0,39,2041,1672531242
44,1028,2078,8111.54,0,0,25,2,53,2078,1672531243
45,1098,2039,3710.73,0,1,45,1,21,2039,1672531244
46,1044,2009,3009.47,0,3,34,3,29,2009,1672531245
47,1014,2053,4895.98,1,2,35,1,38,2053,1672531246
48,1012,2047,5463.71,1,2,38,2,43,2047,1672531247
49,1049,2086,7452.24,0,2,14,4,28,2086,1672531248
50,1013,2085,2288.84,1,3,46,2,23,2085,1672531249
51,1046,2012,1713.82,0,3,33,1,56,2012,1672531250
52,1045,2051,6911.74,1,1,27,4,46,2051,1672531251
53,1078,2093,4103.23,0,3,6,5,35,2093,1672531252
54,1034,2018,8800.95,0,0,26,4,48,2018,1672531253
55,1006,2031,3250.43,0,3,41,3,45,2031,1672531254
56,1094,2015,7964.55,1,1,48,1,21,2015,1672531255
57,1059,2074,9452.68,1,0,6,1,37,2074,1672531256
58,1069,2095,4038.38,0,3,45,1,64,2095,1672531257
59,1016,2065,8688.14,1,2,34,4,37,2065,1672531258
60,1049,2016,4649.28,0,0,43,4,21,2016,1672531259
61,1011,2067,1535.32,1,3,31,1,37,2067,1672531260
62,1071,2086,7381.21,0,2,30,1,27,2086,1672531261
63,1038,2075,3861.79,0,3,25,3,35,2075,1672531262
64,1081,2100,9496.84,0,3,20,2,24,2100,1672531263
65,1080,2068,8734.88,1,1,47,0,36,2068,1672531264
66,1047,2033,7884.77,1,1,21,2,27,2033,1672531265
67,1074,2064,3820.76,0,1,34,3,62,2064,1672531266
68,1025,2012,8703.8,0,0,44,2,61,2012,1672531267
69,1091,2031,1502.35,0,1,4,3,44,2031,1672531268
70,1009,2077,3663.44,0,0,35,4,38,2077,1672531269
71,1006,2016,4349.47,1,0,19,1,42,2016,1672531270
72,1085,2099,8175.87,0,0,13,1,27,2099,1672531271
73,1030,2041,9054.57,0,3,6,4,45,2041,1672531272
